Database,Material,Subtype,kgCO2e/kg,Comments,density,wastage,densityAssumption,wasteReference,Latest,,
ICE v2.0 2011 (UK),Clay,Vitrified clay pipe DN 100 & DN 150,0.46,,607,5,https://www.wavin.com/en-gb/-/media/Products/2018/01/29/21/15/31355_Hepworth-clayPipe-dimensions-and-weightspdf.ashx,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Clay,Vitrified clay pipe DN 200 & DN 300,0.5,,607,5,https://www.wavin.com/en-gb/-/media/Products/2018/01/29/21/15/31355_Hepworth-clayPipe-dimensions-and-weightspdf.ashx,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Clay,Vitrified clay pipe DN 500,0.55,,607,5,https://www.wavin.com/en-gb/-/media/Products/2018/01/29/21/15/31355_Hepworth-clayPipe-dimensions-and-weightspdf.ashx,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Concrete,General,0.107,"It is strongly recommended to avoid selecting a 'general' value for concrete. Selecting data for a specific concrete type (often a ready mix concrete) will give greater accuracy, please see material profile. Assumed cement content 12% by mass.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,16/20 Mpa,0.1,Using UK weighted average cement (more representative of 'typical' concrete mixtures).,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,20/25 MPa,0.107,Using UK weighted average cement (more representative of 'typical' concrete mixtures).,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,25/30 MPa,0.113,Using UK weighted average cement (more representative of 'typical' concrete mixtures).,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,28/35 MPa,0.12,Using UK weighted average cement (more representative of 'typical' concrete mixtures).,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,32/40 MPa,0.132,Using UK weighted average cement (more representative of 'typical' concrete mixtures).,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,40/50 MPa,0.151,Using UK weighted average cement (more representative of 'typical' concrete mixtures).,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 0 (6/8 MPa) Fly Ash 0%,0.076056224,"Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa, under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road (see Ref. 244).",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 1 (8/10 MPa) Fly Ash 0%,0.103867364,"Possible uses: mass concrete, mass fill, mass foundations, trench foundations, blinding, strip footing.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 2 (12/15 MPa) Fly Ash 0%,0.113810805,-,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 3 (16/20 MPa) Fly Ash 0%,0.122745111,Possible uses: garage floors.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 20/25 (20/25 MPa) Fly Ash 0%,0.132068953,-,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 25/30 (25/30 MPa) Fly Ash 0%,0.140056265,Possible uses: reinforced foundations.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 28/35 (28/35 MPa) Fly Ash 0%,0.148019344,"Possible uses: reinforced foundations, ground floors.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 32/40 (32/40 MPa) Fly Ash 0%,0.162972611,"Possible uses: structural purposes, in situ floors, walls, superstructure.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 40/50 (40/50 MPa) Fly Ash 0%,0.18784954,"Possible uses: high strength applications, precasting.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,PAV1 Fly Ash 0%,0.148216569,Possible uses: domestic parking and outdoor paving.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,PAV2 Fly Ash 0%,0.162584805,Possible uses: heavy duty outdoor paving.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 0 (6/8 MPa) Fly Ash 15%,0.06916212,"Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa, under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road (see Ref. 244).",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 1 (8/10 MPa) Fly Ash 15%,0.093634783,"Possible uses: mass concrete, mass fill, mass foundations, trench foundations, blinding, strip footing.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 2 (12/15 MPa) Fly Ash 15%,0.104614503,-,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 3 (16/20 MPa) Fly Ash 15%,0.112203209,Possible uses: garage floors.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 20/25 (20/25 MPa) Fly Ash 15%,0.121905361,-,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 25/30 (25/30 MPa) Fly Ash 15%,0.129543696,Possible uses: reinforced foundations.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 28/35 (28/35 MPa) Fly Ash 15%,0.138011204,"Possible uses: reinforced foundations, ground floors.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 32/40 (32/40 MPa) Fly Ash 15%,0.15241037,"Possible uses: structural purposes, in situ floors, walls, superstructure.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 40/50 (40/50 MPa) Fly Ash 15%,0.174389152,"Possible uses: high strength applications, precasting.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,PAV1 Fly Ash 15%,0.137674063,Possible uses: domestic parking and outdoor paving.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,PAV2 Fly Ash 15%,0.152013951,Possible uses: heavy duty outdoor paving.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 0 (6/8 MPa) Fly Ash 30%,0.061372111,"Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa, under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road (see Ref. 244).",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 1 (8/10 MPa) Fly Ash 30%,0.082211165,"Possible uses: mass concrete, mass fill, mass foundations, trench foundations, blinding, strip footing.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 2 (12/15 MPa) Fly Ash 30%,0.092635695,-,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 3 (16/20 MPa) Fly Ash 30%,0.099577966,Possible uses: garage floors.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 20/25 (20/25 MPa) Fly Ash 30%,0.107662188,-,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 25/30 (25/30 MPa) Fly Ash 30%,0.114662633,Possible uses: reinforced foundations.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 28/35 (28/35 MPa) Fly Ash 30%,0.12374131,"Possible uses: reinforced foundations, ground floors.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 32/40 (32/40 MPa) Fly Ash 30%,0.136296977,"Possible uses: structural purposes, in situ floors, walls, superstructure.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 40/50 (40/50 MPa) Fly Ash 30%,0.155093202,"Possible uses: high strength applications, precasting.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,PAV1 Fly Ash 30%,0.122705321,Possible uses: domestic parking and outdoor paving.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,PAV2 Fly Ash 30%,0.136609039,Possible uses: heavy duty outdoor paving.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 0 (6/8 MPa) Blast Slag 0%,0.076056224,"Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa, under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road (see Ref. 244).",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 1 (8/10 MPa) Blast Slag 0%,0.103867364,"Possible uses: mass concrete, mass fill, mass foundations, trench foundations, blinding, strip footing.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 2 (12/15 MPa) Blast Slag 0%,0.113810805,-,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 3 (16/20 MPa) Blast Slag 0%,0.122745111,Possible uses: garage floors.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 20/25 (20/25 MPa) Blast Slag 0%,0.132068953,-,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 25/30 (25/30 MPa) Blast Slag 0%,0.140056265,Possible uses: reinforced foundations.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 28/35 (28/35 MPa) Blast Slag 0%,0.148019344,"Possible uses: reinforced foundations, ground floors.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 32/40 (32/40 MPa) Blast Slag 0%,0.162972611,"Possible uses: structural purposes, in situ floors, walls, superstructure.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 40/50 (40/50 MPa) Blast Slag 0%,0.18784954,"Possible uses: high strength applications, precasting.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,PAV1 Blast Slag 0%,0.148216569,Possible uses: domestic parking and outdoor paving.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,PAV2 Blast Slag 0%,0.162584805,Possible uses: heavy duty outdoor paving.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 0 (6/8 MPa) Blast Slag 25%,0.060070812,"Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa, under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road (see Ref. 244).",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 1 (8/10 MPa) Blast Slag 25%,0.079950945,"Possible uses: mass concrete, mass fill, mass foundations, trench foundations, blinding, strip footing.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 2 (12/15 MPa) Blast Slag 25%,0.08787833,-,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 3 (16/20 MPa) Blast Slag 25%,0.096015712,Possible uses: garage floors.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 20/25 (20/25 MPa) Blast Slag 25%,0.104051351,-,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 25/30 (25/30 MPa) Blast Slag 25%,0.110981751,Possible uses: reinforced foundations.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 28/35 (28/35 MPa) Blast Slag 25%,0.118663427,"Possible uses: reinforced foundations, ground floors.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 32/40 (32/40 MPa) Blast Slag 25%,0.133265329,"Possible uses: structural purposes, in situ floors, walls, superstructure.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 40/50 (40/50 MPa) Blast Slag 25%,0.153201972,"Possible uses: high strength applications, precasting.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,PAV1 Blast Slag 25%,0.118368983,Possible uses: domestic parking and outdoor paving.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,PAV2 Blast Slag 25%,0.132913286,Possible uses: heavy duty outdoor paving.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 0 (6/8 MPa) Blast Slag 50%,0.045006416,"Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa, under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road (see Ref. 244).",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 1 (8/10 MPa) Blast Slag 50%,0.057874793,"Possible uses: mass concrete, mass fill, mass foundations, trench foundations, blinding, strip footing.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 2 (12/15 MPa) Blast Slag 50%,0.065391796,-,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,GEN 3 (16/20 MPa) Blast Slag 50%,0.069679689,Possible uses: garage floors.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 20/25 (20/25 MPa) Blast Slag 50%,0.076510696,-,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 25/30 (25/30 MPa) Blast Slag 50%,0.081394937,Possible uses: reinforced foundations.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 28/35 (28/35 MPa) Blast Slag 50%,0.087885223,"Possible uses: reinforced foundations, ground floors.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 32/40 (32/40 MPa) Blast Slag 50%,0.100319528,"Possible uses: structural purposes, in situ floors, walls, superstructure.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,RC 40/50 (40/50 MPa) Blast Slag 50%,0.114878057,"Possible uses: high strength applications, precasting.",2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,PAV1 Blast Slag 50%,0.088174522,Possible uses: domestic parking and outdoor paving.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Concrete,PAV2 Blast Slag 50%,0.100021964,Possible uses: heavy duty outdoor paving.,2400,4,Compacted concrete value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Copper,EU Tube & Sheet,2.71,"EU production data, estimated from Kupfer Institut LCI data. 37% recycled content (the 3 year world average). World average data is expected to be higher than these values.",8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Copper,EU Tube & Sheet - Virgin,3.81,,8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Copper,EU Tube & Sheet - Recycled,0.84,,8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Copper,Recycled from high grade scrap ,1.1,"Uncertain, difficult to estimate with the data available.",8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Copper,Recycled from low grade scrap ,3.1,"Uncertain, difficult to estimate with the data available.",8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Glass,Primary,0.91,Includes process CO2 emissions from primary glass manufacture.,2500,1,Solid (soda lime) value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Glass,Secondary,0.59,EE estimated from Ref 115.,2500,1,,WRAP,FALSE,,
ICE v2.0 2011 (UK),Glass,Fibreglass,1.54,"Large data range, but the selected value is inside a small band of frequently quoted values.",2500,1,,WRAP,FALSE,,
ICE v2.0 2011 (UK),Glass,Toughened,1.35,Only three data sources,2500,1,,WRAP,FALSE,,
ICE v2.0 2011 (UK),Insulation,Cork,0.19,Ref. 55.,110,5,From CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Insulation,Rockwool,1.12,Cradle to Grave,100,15,From CIBSE data. Can vary significantly.,WRAP,TRUE,,
ICE v2.0 2011 (UK),Iron,General,2.03,It was difficult to estimate the embodied energy and carbon of iron with the data available.,7870,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Lead,General,1.6681,"Allocated (divided) on a mass basis, assumes recycling rate of 61%",11340,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Lead,General - Virgin,3.37,,11340,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Lead,General - Recycled,0.58,Scrap batteries are a main feedstock for recycled lead,11340,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
